reviewtext,rating
"[['gamecube', 'game', 'kid', 'game', 'terrible'], ['answer', 'yesi', 'buy', 'game', 'regret']]",1.0
"[['disappointed', 'item'], ['picture', 'standard', 'wii', 'video', 'cable', 'definatley', 'leap', 'wrong', 'direction'], ['recommend']]",1.0
"[['mission', 'complete', 'join', 'forum', 'creator', 'forum', 'lot', 'downloading'], ['defective', 'mission', 'build', 'bottman'], ['occupation'], ['waste', 'mission', 'incredibly', 'boring', 'challenge'], ['label', 'easy', 'label', 'easy'], ['6year', 'granddaughter', 'minute', 'instruction'], ['buy', 'product'], ['gfx', 'circa', 'user', 'interface', 'intuitive', 'support', 'abysmal'], ['waste', 'money'], ['bad'], ['ship'], ['mission'], ['vstep', 'giant', 'step', 'backward']]",1.0
"[['doa'], ['wasnt', 'not_worth', 'not_return', 'not_money', 'not_spend'], ['dont', 'not_waste', 'not_money', 'not_card']]",1.0
"[['buy', 'game', 'play'], ['game', 'easy', 'beat', 'easy'], ['character', 'fun'], ['yeah', 'bore'], ['fan', 'game', 'game', 'cheap', 'guess', 'wouldnt', 'hurt', 'pick'], ['cost', 'cash', 'game', 'videostore']]",1.0
"[['excellent', 'game', 'substance'], ['graphic', 'oversahdowed', 'game', 'final', 'fantasy', 'vii'], ['ff7', 'breath', 'fire'], ['story', 'battle', 'system']]",1.0
"[['spend', 'week', 'grasp', 'control', 'game'], ['true', 'batman', 'fan', 'game', 'attempt'], ['dark', 'didnt', 'not_character', 'not_establish', 'not_control', 'not_game', 'not_fight', 'not_bad', 'not_guy'], ['crazy', 'commute', 'crime', 'location', 'locate', 'true', 'dark', 'knight', 'inch', 'gothem', 'city'], ['writer', 'expect']]",1.0
"[['review', 'batman', 'robin', 'playstation', 'batman', 'forever', 'arcade'], ['wrose', 'batman', 'forever', 'snes', 'genesis'], ['dont', 'not_wrose', 'not_game', 'not_joel', 'not_schumacer', 'not_film'], ['becuse', 'dont', 'not_diamond'], ['film', 'bad'], ['leave']]",1.0
"[['game', 'complete', 'crap'], ['graphic', 'decentbut', 'gameplay'], ['bad', 'batman', 'robin'], ['offthe', 'control', 'terrible'], ['figure', 'fightdrive', 'batmobileswimuse', 'gadget'], ['pain', 'walk'], ['map', 'gotham', 'building'], ['game', 'impossible'], ['life'], ['dieits', 'game', 'overand'], ['die'], ['play', 'batmanrobin', 'batgirlbut', 'combat', 'move', 'absolutley', 'retarded'], ['overallthis', 'bad', 'batman', 'game', 'play'], ['batman', 'forever', 'genesis', 'dudand', 'bad', 'game'], ['highly', 'recommend', 'buy'], ['wanna', 'purchase', 'thisis', 'pretty', 'rare', 'gameand', 'game', 'collectionbut', 'game'], ['suck']]",1.0
"[['play', 'game', 'christmas'], ['couple', 'level'], ['love', 'game'], ['magic'], ['graphic'], ['finally', 'finish', 'game', 'secret'], ['urge', 'replay', 'game'], ['feeling'], ['magic', 'completely'], ['warn'], ['hd', 'tv', 'ps3', 'buy', 'physical', 'copy', 'game'], ['playback', 'visuals', 'game', 'absolutely', 'horrible'], ['completely', 'hinder', 'ability', 'play', 'game', 'pixelated'], ['remember', 'game', 'bad', 'assume', 'technology'], ['hd', 'tv', 'completely', 'unforgiving', 'type', 'game'], ['digital', 'copy', 'psn', 'physical', 'copy', 'hd', 'display', 'aspect', 'ratio'], ['play', 'game', 'standard', 'definition', 'tv', 'havent'], ['remember', 'game', 'ps1', 'game', 'play', 'beat'], ['future', 'gamers']]",1.0
"[['game'], ['graphic', 'wwe', 'wrestling', 'game', 'absolutely'], ['graphic', 'wwf', 'zone', 'pretty', 'original', 'care'], ['wrestling', 'video', 'game', 'fan', 'television', 'set', 'amazement', 'wrestler', 'realistic', 'movement', 'true', 'life'], ['care'], ['zone', 'scene', '90', 'yeah', 'graphic', 'cool'], ['wwe', 'care', 'impress', 'gamers', 'realism'], ['wwf', 'zone', 'game', 'bring', 'graphic', '3d', 'level'], ['level', 'crap'], ['sick', 'wwe', 'wrestling', 'game', 'basically'], ['explain', 'bad'], ['buy', 'updated', 'sport', 'video', 'game', 'football', 'hockey', 'couple', 'player', 'option'], ['wwe', 'video', 'game'], ['wwe', 'game', 'completely', 'suck', 'fun', 'wrestling', 'game', 'market', 'offer', 'difference', 'game'], ['doesnt', 'not_matter', 'not_smackdown', 'not_smackdown', 'not_wwe', 'not_raw', 'not_xbox', 'not_wwe', 'not_wrestlemania', 'not_gamecube'], ['game', 'lousy', 'attempt', 'impress', 'gaming', 'wrestling', 'fan', 'realism'], ['realism', 'matter', 'wrestling', 'game'], ['wrestling', 'game', 'video', 'game', 'fun'], ['fun', 'wrestling', 'game', 'release', 'wrestling', 'game', 'ago'], ['sick', 'wrestle', 'video', 'game'], ['wwf', 'zone', 'wwf', 'house', 'game', 'completely', 'stand', 'wwe', 'wrestle', 'game', 'wwf', 'wrestlemania', 'arcade', 'game'], ['game', 'buttonsmashing', 'delight', 'wwf', 'raw', 'super', 'sega', 'genesis'], ['formula', 'oldschool', 'wrestle', 'game', 'didnt', 'not_stick', 'not_overstay'], ['game', 'wwf', 'zone'], ['wwf', 'zone', 'playstation', 'n64', 'wrong'], ['game', 'company', 'idea', 'people', 'realism', 'wrestling', 'game', 'wwe', 'game', 'realisticlooking', 'gameplay', 'wrestler', 'appearance', 'fun', 'factor', 'wash', 'sandcastles', 'beach'], ['fun', 'game', 'play'], ['sick'], ['wwf', 'zone', 'innovative', 'game', 'wrestle', 'height', 'bad'], ['graphically', 'wwf', 'zone'], ['bound', 'flaw', 'exist', 'flaw'], ['major', 'game', 'slow'], ['adrenalinerushing', 'wwf', 'house', 'experience', 'wrestler', 'walk', 'slowly'], ['painfully', 'slow'], ['wwf', 'house', 'wwf', 'zone', 'cheetah', 'race', 'snail', 'race'], ['grandparent', 'wrestle', 'fast', 'wrestler', 'game'], ['fair', 'wwf', 'wrestle', 'game', 'improve', 'speed'], ['ago'], ['wwf', 'zone', 'start', 'popular', 'create', 'wrestler', 'mode'], ['doesnt', 'not_matter', 'not_mention', 'not_wrestle', 'not_game', 'not_option'], ['option', 'lose', 'charm', 'overkill', 'game', 'company', 'rid', 'drastically'], ['fun', 'idea', 'dont', 'not_wrestling', 'not_game'], ['rid', 'wwf', 'zone', 'yard', 'sale', 'rid', 'throw'], ['crappy', 'game', 'shelf', 'deserving', 'playstation', 'game'], ['wwe', 'innovative', 'wrestling', 'game', 'repeat', 'formula', 'wouldnt', 'wwf', 'zone', 'game', 'downfall'], ['update', 'graphic', 'option', 'wrestler', 'doesnt', 'not_job']]",1.0
"[['wwf', 'game', 'suck'], ['boring'], ['graphic', 'alright'], ['plain'], ['game', 'slo'], ['game'], ['mercy'], ['wwf', 'game'], ['game', 'dull', 'boring'], ['game', 'flat', 'suck'], ['baught', 'buck'], ['waste']]",1.0
"[['game', 'waste', 'money'], ['halfthe', 'price', 'game', 'offer', 'graphicsbetter', 'realism'], ['havent', 'guess', 'alert'], ['pretty', 'week', 'wont', 'play'], ['alert', 'continually', 'strategy'], ['sit', 'set', 'deadline', 'game', 'guy', 'wait', 'week'], ['type', 'box', 'quotred', 'alertquot', 'buy', 'game'], ['game', 'spend']]",1.0
"[['intend', 'cheat', 'mod', 'game', 'dont', 'not_waste', 'not_money'], ['uneven', 'gameplayand', 'option', 'plague', 'gameit', 'short', 'reduced', 'price'], ['spend', 'money', 'gamejust'], ['helpsi', 'game', 'collect', 'dustbut', 'game']]",1.0
"[['alert', 'pretty', 'fun', 'game'], ['clone', 'alert'], ['people', 'campc', 'idea'], ['campc', 'game'], ['didnt', 'not_alert', 'not_start', 'not_tiberian', 'not_sun', 'not_bad']]",1.0
"[['game', 'dont', 'not_charactersin', 'not_3d', 'not_idea', 'not_game', 'not_outrightboringand', 'not_character', 'not_smoke'], ['game', 'crash', 'stick', 'game', 'pretty', 'dont', 'not_count', 'not_crash', 'not_character']]",1.0
"[['halflife', 'start', 'level'], ['level', 'amaze'], ['hallways', 'occasional', 'elevator', 'shaft', 'climb'], ['3d', 'game', 'vast', 'plain', 'enemy', 'obstacle'], ['halflife', 'didnt', 'not_cut', 'not_arena'], ['disturbing', 'extreme', 'goreviolence', 'game'], ['science', 'project', 'wrong', 'walk', 'scientist', 'ground', 'gallon', 'blood', 'spread', 'wall', 'floor'], ['programmer', 'sick'], ['reach', 'level', 'fight', 'army', 'grunt', 'enemy', 'grotesque'], ['clip', 'bullet', 'guy', 'expect', 'wall', 'cover', 'blood'], ['blood', 'disturb'], ['aspect', 'game', 'extremely', 'unacceptable'], ['teenager'], ['violence', 'lack', 'level', 'game', 'pretty', 'void', 'lasting', 'quality'], ['weekend', 'pure', 'stick', 'computer', 'grossing', 'buy', 'game'], ['dont', 'not_bother']]",1.0
"[['stuppidiest', 'game', 'play'], ['advise', 'play', 'buy'], ['suck']]",1.0
"[['game', 'game', 'play', 'fun']]",1.0
"[['game', 'tear', 'play', 'station'], ['view', 'game'], ['receive', 'discover', 'version']]",1.0
"[['play', 'game', 'fun'], ['amazon', 'copy', 'game', 'enjoy', 'classic', 'game'], ['buy', 'seller', '34warehouse', 'deal', 'inc34', 'game', 'contact'], ['watch']]",1.0
"[['game', 'mediocre'], ['n64', 'offer', 'alongside', 'wrestling', 'game', 'resident', 'evil'], ['nintendrone', 'cult', 'mark'], ['sony', 'playstation', 'game', 'immersion', 'cd', 'storage'], ['game', 'nintendrones'], ['production', 'game', 'basically', 'weak', 'menu', 'intro', 'pathetic', 'music', 'repeating', 'board'], ['gameplay', 'mow', 'enemy', 'aiming', 'suck', 'bore', 'mow', 'enemy', 'spawn', 'figure', 'complete', 'mission'], ['finally', 'multiplayer', 'wayyyyyy', 'overrate'], ['remember', 'play', 'player', 'couple', 'feel'], ['quad', 'split', 'screen', 'nuisance'], ['goodness', 'online', 'play', 'game', 'completely', 'goldeneye', 'category', 'funfactor'], ['yeah', 'nintendrones', 'playstation', 'brand', 'rightfully', 'crown', 'achievement', 'console', 'gaming', 'dated', 'weak', 'title'], ['yeah', 'rare', 'expose', 'mediocre', 'cult', 'devotion', 'nintendo', 'rich']]",1.0
"[['wanna', 'review'], ['play', 'game', 'game', 'star', 'sort'], ['play', 'playstation', 'version', 'notice', 'jib', 'didnt', 'not_pc', 'not_version', 'not_version'], ['train'], ['pc', 'version', 'train', 'hijack', 'reverse'], ['useless', 'crash', 'train', 'entertain'], ['version', 'doesnt', 'not_train'], ['track', 'figure'], ['lack', 'vehicle'], ['pc', 'version', 'doesnt', 'not_spot', 'not_car', 'not_disapeer', 'not_feel', 'not_walk', 'not_ghost', 'not_town'], ['wouldnt'], ['edit', 'pc', 'version', 'car', 'game', 'download', 'simple', 'device', 'car', 'download', 'game', 'simmilar', 'tool'], ['car', 'mission', 'car', 'edit', 'exsisting', 'map', 'city', 'scratch'], ['play', 'game', 'ride', 'knight', 'rider', 'lee', 'eulude', 'cop', 'drive', 'lambourghinis'], ['gouranga'], ['convince', 'pc', 'version'], ['feel', 'psx', 'play', 'lack', 'huh']]",1.0
"[['mario', 'kart', 'fun', 'secret', 'characthers', 'secret', 'placesi'], ['game', 'hour', 'completly', 'bore', 'dont', 'not_race', 'not_game'], ['producer', 'harder', 'game', 'completly', 'unsatified']]",1.0
"[['wii', 'version', 'horrible'], ['opponent', 'shell', 'item', 'cpu', 'boost', 'ahaed']]",1.0
"[['rank', 'bad', 'game', 'play'], ['complete', 'insult', 'rpg', 'genre', 'linear', 'cutesy', 'puzzle', 'game'], ['play', 'harmonica', 'press', 'button', 'move', 'box', 'jump', 'platform', 'platform', 'kill', 'enemy', 'targeting', 'system', 'respawn', 'leave'], ['guarantee', 'star', 'vote', 'child', 'type', 'game', 'appeal'], ['experienced', 'gamer', 'favor', 'steer', 'hideous', 'title', 'bad'], ['youll', 'excuse', 'balance', 'wobbly', 'kitcken', 'table', 'cartridge']]",1.0
"[['bad', 'game'], ['terrible', 'graphic', 'compare', 'triple', 'voice', 'boring', 'puzzle', 'star', 'fruity', 'fairy', 'boy', 'wear', 'green', 'panty', 'babe', 'game'], ['villian', 'black'], ['racist'], ['zelda', 'game', 'recommend', 'link', 'evil', 'wand', 'gamelon', 'zeldas', 'adventure']]",1.0
"[['love', 'socalled', 'masterpiece', 'boringrepetitive', 'game', 'soundtrack'], ['stick', 'superior', 'original']]",1.0
"[['lara', 'croft', 'game'], ['remember', 'ago'], ['teen', 'practically', 'drool', 'controller', 'laras', 'pretty'], ['tomb', 'raider', 'advertise', 'groundbreaking', 'video', 'game', 'freakin', 'market'], ['game', 'bore', 'lara', 'croft', 'isnt', 'not_pretty'], ['polygonbreasted', 'girl'], ['lara', 'croft', 'isnt', 'not_goodlooking', 'not_internet', 'not_gamers', 'not_understand', 'not_blockylooking', 'not_computer', 'not_babe', 'not_isnt', 'not_automatically', 'not_game', 'not_fun', 'not_play'], ['lara', 'croft', 'credit'], ['originator', 'halfnaked', 'female', 'shooteradventure', 'type', 'video', 'game'], ['major', 'influence', 'adventure', 'game', 'company', 'character', 'game', 'halfnaked', 'chick'], ['lara', 'bring', 'video', 'game', 'credit'], ['influence', 'doesnt', 'not_matter', 'not_game', 'not_bad'], ['tomb', 'raider', 'series', 'original', 'playstation', 'joke'], ['absolutely', 'groan', 'play', 'tomb', 'raider', 'game', 'remember', 'ugly', 'dark', 'environment', 'glitchy', 'dominate', 'tomb', 'raider', 'game', 'annoying', 'difficult', 'jumping', 'style', 'lara', 'croft', 'impossible', 'progress', 'game'], ['luck', 'jump', 'mention', 'laras', 'suppose', 'beautiful', 'pretty', 'remember'], ['doesnt', 'not_puzzle', 'not_solve', 'not_frequently', 'not_jumping', 'not_frustrating', 'not_complete'], ['aim', 'gun', 'emeny', 'isnt', 'not_walk', 'not_park'], ['series', 'overrated', 'disaster'], ['tomb', 'raider', 'release', 'people', 'feed', 'series'], ['people', 'release', 'tomb', 'raider', 'game', 'people', 'sick', 'tomb', 'raider', 'game', 'resident', 'evil', 'silent', 'hill', 'style', 'improve', 'drastically', 'tomb', 'raider', 'comparison'], ['tomb', 'raider', 'game', 'decentlooking', 'background', 'level'], ['guess', 'company', 'create', 'lara', 'croft', 'finally', 'understand', 'laras', 'pretty', 'isnt', 'not_job'], ['background'], ['pretty', 'environment', 'playstation', 'darkness', 'candlelight'], ['tomb', 'raider', 'feature', 'challenge', 'challenge', 'abovementioned', 'jumping'], ['simply', 'doesnt', 'not_jump'], ['game', 'company', 'wouldve', 'dealt', 'move', 'lara', 'game', 'move', 'game', 'easy'], ['artifactfinding', 'storyline', 'frustrating', 'challenge', 'ruin'], ['boy', 'glad', 'buy', 'game', 'watch', 'people', 'play'], ['review', 'tomb', 'raider', 'game', 'playstation', 'improvement'], ['series']]",1.0
"[['twisted', 'metal', 'overrate', 'bad', 'playstation', 'game'], ['unfun', 'game'], ['control', 'laughable'], ['gameplay', 'incredibly', 'boring'], ['music', 'zombie', 'bad', 'hear', 'row'], ['game'], ['dont']]",1.0
"[['trust', 'buy', 'game'], ['local', 'tm', 'lover', 'knowall'], ['buy', 'tm4', 'tm2', 'tm3', 'sadly', 'copy', 'tm1', 'buy', 'tm2', 'forward', 'cool', 'character', 'cool', 'battleground', 'semipixated', 'graphic'], ['character', 'club', 'kid', 'auger', 'flamethrower', 'favorite', 'driver', 'flower', 'power'], ['level', 'washington', 'dc', 'level', 'fun'], ['north', 'pole', 'annoy', 'boring', 'london', 'level'], ['graphic', 'cheesy', 'studio'], ['car', 'flip', 'tight', 'car', 'drive', 'hill'], ['game', 'realistic'], ['game', 'star', 'disgrace', 'tm', 'title'], ['warn', 'game'], ['bad'], ['car', 'combat', 'genre', 'shame']]",1.0
"[['understand', 'love', 'tomb', 'raider'], ['odd', 'improvement', 'game', 'havent', 'vastly', 'doom', 'quake', 'vastly'], ['control', 'lara', 'clumsey', '3rd', 'person', 'view'], ['lara', 'aim', 'satisfaction', 'blast', 'somethings', 'head', 'distance', 'nonexistent'], ['fart', 'half'], ['fun', 'climb', 'rock'], ['puzzle', 'game', 'bore', 'labourious'], ['lara', 'croft', 'fit', 'fall', 'forward', 'massive', 'mammaries'], ['ogling', 'screen', 'sad', 'people']]",1.0
"[['game', 'n64', 'style', '3d', 'graphic', 'camera', 'angle', 'kill', 'espessially'], ['mario', 'game', 'amazing', 'wii', 'title', 'super', 'mario', 'wii', 'bad', 'mario', 'game', 'mario'], ['graphic', 'terrible', 'music', 'annoy', 'boaring']]",1.0
"[['admit', 'simcities', 'exception', 'super', 'nintendo', 'version', 'simcity'], ['action', 'person', 'sitbackandwatchmycitygrow', 'person'], ['simcity', 'catchy', 'graphic', 'innovative', 'approach', 'buidling', 'city', 'hour', 'youll', 'fall', 'asleep', 'fist', 'monitor', 'depend', 'income', 'city', 'positive', 'negative', 'game'], ['people'], ['matter', 'income', 'positive'], ['distraught', 'stuck', 'person'], ['online', 'cheat', 'code'], ['hour', 'bore'], ['thinker', 'simcity'], ['person', 'action', 'speak', 'louder', 'dungeon', 'keeper', 'game', 'simcity', 'complex', 'active']]",1.0
"[['wasnt', 'not_crash', 'not_bandicoot', 'not_game', 'not_suppose', 'not_alltime', 'not_playstation', 'not_game'], ['sony'], ['promote', 'game', 'death'], ['didnt'], ['game', 'horrible'], ['prefer', 'junk', 'sonic', 'hedgehog', 'mario', 'bros'], ['series'], ['sony', 'lot', 'credit', 'attention', 'crash', 'bandicoot', 'attempt', 'game', 'extraordinary', 'level', 'mario', 'sonic', 'gamers', 'catch', 'crash'], ['playstation', 'huge', 'selection', 'game', 'choose', 'crash', 'release', 'sony', 'didnt', 'not_mascot'], ['people', 'buy', 'playstation', 'game', 'crazy'], ['crash', 'bandicoot', 'exist'], ['debut', 'game', 'debut', 'advertisement', 'tv', 'commercial', 'sony', 'game', 'easy', 'inexperienced', 'gamers', 'play'], ['sony', 'start', 'crash', 'series', 'impossible', 'bonus', 'level', 'impossible', 'complete', 'didnt', 'not_game', 'not_bonus', 'not_level', 'not_instruction', 'not_booklet'], ['bonus', 'level', 'challenge', 'pretty', 'difficult', 'stage', 'bridge', 'sky', 'continue', 'fall', 'wooden', 'crack', 'nightmare', 'level'], ['life', 'earn', 'game'], ['mascot', 'debut', 'game', 'shouldnt', 'difficulty', 'idea', 'player', 'enjoy', 'game'], ['child', 'nonstop', 'frustration'], ['crash', 'bandicoot', 'isnt', 'not_remember', 'not_mario', 'not_sonics', 'not_debut', 'not_game', 'not_crash', 'not_basically', 'not_blend', 'not_mario', 'not_sonic', 'not_feature', 'not_3d'], ['crash', 'collect', 'berry', 'game', 'mario', 'collect', 'coin', 'sonic', 'collect'], ['crash', 'spin', 'attack', 'mario', 'sonic', 'spin', 'attack', 'crash', 'existence'], ['sony', 'didnt', 'not_creative', 'not_idea', 'not_gamers', 'not_crash', 'not_bandicoot'], ['mario', 'sonic', 'dont', 'not_imitation'], ['crash', 'bandicoot', 'improve', 'improvement', 'earn', 'mascot', 'reputation', 'series', 'start', 'bang'], ['remember', 'crash', 'bandicoot', 'game', 'uninteresting', 'frustrating', 'experience'], ['heck', 'reviewer', 'submit', 'review', 'game', 'amazon', 'crash', 'bandicoot', 'adventure', 'forget'], ['talk', 'crash', 'bandicoot', 'game'], ['crash', 'bandicoot']]",1.0
